Pos,StartNr,Naam,Race,Cat,Loop1,#L1,Wis1,Fiets,#Fie,NaFiets,#NaF,Wis2,Loop2,#L2,Totaal,DQ
44,7018,Bouke de Loos,7,H24+,0:08:19,12,0:01:35,0:36:53,95,0:46:46,65,0:01:35,0:18:58,20,1:07:17,
45,5035,Martin Oosters,4,H40+,0:08:56,47,0:01:22,0:36:41,84,0:46:59,72,0:01:15,0:19:24,31,1:07:36,
46,6127,Thymen van Voorst,6,H24+,0:08:40,25,0:01:37,0:36:14,69,0:46:30,55,0:01:22,0:19:47,45,1:07:38,
47,4002,Berco Breugem,4,H40+,0:09:05,61,0:01:34,0:35:02,41,0:45:40,44,0:01:20,0:20:42,85,1:07:40,
48,2070,Koen Janmaat,2,H24+,0:09:15,83,0:01:18,0:34:44,37,0:45:16,36,0:01:09,0:21:16,111,1:07:41,
49,3027,Arie Piet de Vogel,3,H40+,0:09:08,66,0:01:33,0:35:44,61,0:46:24,53,0:01:16,0:20:02,52,1:07:41,
50,6015,Merijn de Jong,6,H24+,0:09:15,84,0:01:08,0:36:15,71,0:46:37,61,0:01:08,0:20:03,53,1:07:47,
51,23,Rein de Groot,4,H24+,0:08:25,699,0:01:23,0:38:07,701,0:47:54,701,0:01:23,0:18:31,699,1:07:47,
52,1119,Willem Thijsse,1,H24+,0:09:30,105,0:01:37,0:35:10,44,0:46:15,50,0:01:28,0:20:09,60,1:07:52,
53,7025,Wouter Genuchten,7,H16+,0:09:32,113,0:01:40,0:36:22,74,0:47:33,78,0:01:20,0:19:02,21,1:07:54,
54,6005,Frens Pries,6,H24+,0:09:28,98,0:01:47,0:33:46,23,0:44:59,32,0:01:39,0:21:17,113,1:07:55,
55,3069,Michel Boekestijn,3,H40+,0:09:38,125,0:01:54,0:32:53,14,0:44:23,25,0:01:30,0:22:09,170,1:08:02,
56,1025,Jorden van Luxemburg,1,H24+,0:08:28,18,0:01:28,0:38:34,169,0:48:28,102,0:01:02,0:18:34,14,1:08:03,
57,1053,Stefan Dorsman,1,H24+,0:09:19,90,0:01:36,0:35:41,59,0:46:36,59,0:01:35,0:20:03,54,1:08:12,
58,3014,Rob van Zanten,3,H40+,0:09:10,71,0:01:23,0:36:17,73,0:46:48,66,0:01:24,0:20:05,57,1:08:16,
59,2077,Patrick van der Knaap,2,H24+,0:09:15,85,0:01:42,0:34:19,32,0:45:15,35,0:01:06,0:22:13,176,1:08:34,
60,1004,Piotr Pierzchala,1,H24+,0:09:06,62,0:01:24,0:37:11,108,0:47:39,84,0:00:58,0:20:00,51,1:08:36,
61,1010,Bouke de Graaf,1,H24+,0:08:54,43,0:01:45,0:36:11,68,0:46:50,68,0:01:36,0:20:13,64,1:08:38,
62,2095,Mark de Munter,2,H24+,0:08:25,16,0:01:45,0:38:51,182,0:49:00,118,0:01:34,0:18:06,8,1:08:39,
63,5122,Jasper Veel,4,H24+,0:08:56,49,0:01:25,0:37:10,107,0:47:31,77,0:01:06,0:20:04,56,1:08:40,
64,6095,Corné Kortlever,6,H24+,0:09:09,67,0:01:53,0:35:40,58,0:46:41,62,0:01:24,0:20:41,84,1:08:46,
65,3002,Thierry van Keeken,3,H24+,0:09:11,76,0:01:31,0:36:39,82,0:47:20,74,0:01:29,0:20:06,58,1:08:54,
66,7002,Bart Mennink,7,H24+,0:08:46,33,0:01:20,0:37:57,141,0:48:02,90,0:01:02,0:19:57,49,1:09:00,
67,5091,Jules Holleboom,4,H24+,0:08:31,19,0:01:26,0:38:37,173,0:48:33,105,0:01:18,0:19:11,27,1:09:01,
68,6066,Gio Bobbe,6,H16+,0:08:43,29,0:01:38,0:38:30,166,0:48:49,112,0:01:31,0:18:45,15,1:09:04,
69,1083,Rolf van Lieshout,1,H16+,0:08:54,42,0:01:13,0:38:50,181,0:48:56,117,0:01:19,0:18:50,18,1:09:04,
70,1099,Jeroen Quak,1,H24+,0:08:49,36,0:01:08,0:34:26,34,0:44:22,24,0:01:15,0:23:29,243,1:09:05,
71,7021,Richard Bennis,7,H40+,0:09:28,99,0:01:47,0:34:13,30,0:45:28,39,0:02:06,0:21:32,131,1:09:05,
72,6122,Patrick Verheij,6,H40+,0:09:34,118,0:02:09,0:34:54,39,0:46:36,60,0:01:20,0:21:32,133,1:09:28,
73,7020,Pim Veldhuis,7,H24+,0:09:21,92,0:01:11,0:35:59,64,0:46:30,56,0:01:06,0:21:53,155,1:09:29,
74,3055,Remco Kroonsberg,3,H40+,0:10:14,215,0:01:46,0:34:05,25,0:46:05,47,0:01:26,0:22:03,164,1:09:33,
75,3117,Rutger van Schaardenburg,3,H24+,0:09:49,148,0:01:26,0:36:41,83,0:47:56,89,0:01:13,0:20:32,78,1:09:40,
76,5022,Marco de Wit,4,H40+,0:09:43,131,0:01:29,0:35:39,55,0:46:49,67,0:01:20,0:21:33,134,1:09:41,
77,2031,Erik Visser,2,H40+,0:09:32,114,0:01:08,0:36:59,98,0:47:38,81,0:01:00,0:21:05,100,1:09:42,
78,2009,Marco Stein,2,H40+,0:09:13,78,0:01:36,0:36:23,75,0:47:10,73,0:01:21,0:21:19,118,1:09:48,
79,6102,Jos Moerkerken,6,H24+,0:08:57,53,0:01:10,0:37:37,127,0:47:43,86,0:01:00,0:21:14,109,1:09:56,
80,5056,Jelle Meijer,4,H24+,0:09:10,73,0:01:30,0:36:48,89,0:47:26,76,0:01:27,0:21:05,101,1:09:58,
81,2134,Joran Vergeer,2,H24+,0:08:55,44,0:01:30,0:37:26,120,0:47:49,88,0:01:31,0:20:46,86,1:10:05,
82,4006,Sander Scheerders,4,H24+,0:09:33,116,0:01:46,0:35:24,47,0:46:43,63,0:01:38,0:21:46,147,1:10:06,
83,2062,Matthew Harvey,2,H24+,0:08:53,39,0:01:36,0:39:32,225,0:50:00,146,0:01:18,0:18:49,17,1:10:07,
84,6001,Thommy Nickel,6,H24+,0:09:14,82,0:01:16,0:37:34,125,0:48:03,91,0:01:07,0:21:01,93,1:10:09,
85,2017,Koen van Hees,2,H24+,0:08:45,31,0:02:04,0:37:43,130,0:48:31,104,0:01:24,0:20:16,68,1:10:11,
86,5049,Edwin van Ruijven,4,H40+,0:09:34,117,0:01:57,0:35:24,48,0:46:55,71,0:01:30,0:21:51,151,1:10:14,
87,5136,Derek Zanen,4,H24+,0:08:59,56,0:01:35,0:37:02,101,0:47:35,79,0:01:13,0:21:26,121,1:10:14,
88,2109,Bas Punt,2,H40+,0:10:29,250,0:01:51,0:34:31,36,0:46:50,69,0:01:39,0:21:51,152,1:10:19,
89,4080,Tom Hak,4,H24+,0:07:57,4,0:01:05,0:43:29,420,0:52:30,247,0:00:55,0:16:57,2,1:10:21,
90,2050,Bas Dijkstra,2,H24+,0:09:14,81,0:01:37,0:37:19,114,0:48:09,94,0:01:50,0:20:35,81,1:10:33,
91,3033,Erik Leusink,3,H24+,0:10:06,197,0:01:33,0:36:56,96,0:48:34,106,0:01:28,0:20:32,77,1:10:33,
92,6057,Lars Ammerlaan,6,H16+,0:08:41,28,0:01:35,0:39:35,229,0:49:51,138,0:01:27,0:19:37,35,1:10:53,
93,6044,Sander Eggenhuizen,6,H40+,0:09:36,122,0:01:57,0:36:57,97,0:48:29,103,0:01:27,0:21:01,94,1:10:56,
94,1104,Wout van Rossem,1,H24+,0:08:53,38,0:01:33,0:38:25,162,0:48:50,116,0:01:31,0:20:40,83,1:11:00,
95,6037,Jan van Bennekom,6,H40+,0:09:10,74,0:01:33,0:38:41,175,0:49:23,125,0:01:17,0:20:27,76,1:11:06,
