Pos,StartNr,Naam,Race,Cat,Loop1,#L1,Wis1,Fiets,#Fie,NaFiets,#NaF,Wis2,Loop2,#L2,Totaal,DQ
192,7012,Mark Bauhuis,7,H24+,0:11:16,374,0:01:39,0:37:23,118,0:50:17,158,0:01:33,0:23:59,290,1:15:48,
193,6093,Tijmen Hupkens,6,H24+,0:10:09,204,0:01:38,0:37:54,139,0:49:40,135,0:01:55,0:24:15,314,1:15:50,
194,1031,Sander Collignon,1,H24+,0:09:48,141,0:01:46,0:41:53,343,0:53:26,280,0:01:35,0:20:50,87,1:15:50,
195,6003,Krista van Soldt,6,D24+,0:10:39,281,0:01:32,0:39:35,228,0:51:44,218,0:01:10,0:23:01,213,1:15:54,
196,5082,Peter Dekker,4,H40+,0:09:42,129,0:02:01,0:40:54,292,0:52:36,251,0:01:47,0:21:34,137,1:15:56,
197,7115,Sjoerd Talsma,7,H40+,0:09:57,169,0:01:53,0:42:17,369,0:54:05,301,0:01:36,0:20:16,66,1:15:56,
198,6077,Wouter Drinkwaard,6,H24+,0:11:42,430,0:01:32,0:39:05,195,0:52:18,240,0:01:04,0:22:35,191,1:15:57,
199,3026,Martijn Koot,3,H40+,0:09:51,152,0:02:14,0:39:57,246,0:52:01,229,0:02:23,0:21:36,139,1:15:59,
200,2052,Bin Krens,2,H24+,0:09:26,95,0:02:13,0:41:03,299,0:52:41,256,0:01:47,0:21:33,135,1:16:00,
201,5063,Mark Rooduijn,4,H40+,0:10:56,319,0:02:48,0:37:11,109,0:50:54,183,0:02:15,0:22:56,207,1:16:04,
202,2038,Jay Biharie,2,H24+,0:09:40,128,0:01:57,0:40:52,290,0:52:27,245,0:01:23,0:22:15,179,1:16:04,
203,6109,Frank Prevos,6,H40+,0:10:57,323,0:01:37,0:38:37,171,0:51:11,192,0:01:45,0:23:10,222,1:16:04,
204,6083,Frans Faber,6,H40+,0:10:57,322,0:01:42,0:37:51,136,0:50:30,167,0:01:25,0:24:10,311,1:16:05,
205,2136,Johan de Visser,2,H40+,0:09:28,100,0:02:24,0:40:27,270,0:52:19,241,0:01:49,0:22:10,171,1:16:17,
206,4041,Patrick van der Ham,4,H40+,0:10:08,200,0:01:16,0:39:32,226,0:50:55,184,0:01:17,0:24:19,321,1:16:30,
207,6104,Lennard Muilwijk,6,H24+,0:09:52,156,0:01:23,0:40:51,288,0:52:05,232,0:01:05,0:23:23,237,1:16:32,
208,4035,Robert Verhagen,4,H24+,0:11:12,359,0:02:00,0:37:16,111,0:50:28,166,0:02:06,0:24:05,300,1:16:38,
209,3041,Tim van Duin,3,H24+,0:09:52,154,0:01:30,0:39:11,203,0:50:32,170,0:01:09,0:24:59,364,1:16:38,
210,1026,Lieke Ouwerkerk,1,D16+,0:10:05,193,0:01:38,0:40:18,258,0:52:00,228,0:01:13,0:23:32,250,1:16:44,
211,7081,Ronald  Broeders ,7,H24+,0:09:54,165,0:01:27,0:38:37,170,0:49:57,144,0:01:33,0:25:18,380,1:16:47,
212,2090,Martijn Meijer,2,H40+,0:10:00,179,0:01:52,0:41:03,298,0:52:54,262,0:01:40,0:22:14,178,1:16:47,
213,3053,Marcel Blommendaal,3,H40+,0:11:13,362,0:01:35,0:39:20,210,0:52:06,234,0:01:31,0:23:12,224,1:16:49,
214,2016,David van Straalen,2,H24+,0:10:15,218,0:01:51,0:39:43,237,0:51:49,222,0:01:56,0:23:08,220,1:16:52,
215,4012,Jordi Buisman,4,H24+,0:09:56,168,0:01:54,0:40:40,281,0:52:30,246,0:01:55,0:22:30,187,1:16:53,
216,2104,Maurits Peeters,2,H24+,0:10:57,324,0:01:35,0:38:32,167,0:51:03,187,0:01:19,0:24:34,338,1:16:54,
217,5042,Frank   Olsthoorn,4,H40+,0:10:06,198,0:02:10,0:38:06,147,0:50:21,161,0:01:59,0:24:36,342,1:16:55,
218,2014,Marcel Zijderhand,2,H24+,0:10:32,261,0:01:58,0:38:37,172,0:51:06,189,0:01:55,0:23:57,288,1:16:57,
219,2044,Erik Boender,2,H40+,0:10:39,280,0:01:38,0:37:21,116,0:49:36,133,0:01:50,0:25:36,401,1:17:02,
220,3085,Onno Helder,3,H40+,0:10:52,309,0:02:17,0:40:20,264,0:53:27,281,0:02:01,0:21:36,138,1:17:03,
221,2093,Hugo du Mez,2,H24+,0:09:09,68,0:01:18,0:43:25,414,0:53:51,292,0:00:59,0:22:18,180,1:17:07,
222,7033,Yanick Lozano Parra,7,H24+,0:09:09,69,0:02:00,0:41:12,309,0:52:20,242,0:01:49,0:22:59,212,1:17:08,
223,5103,Riko Ooijevaar,4,H24+,0:11:42,435,0:01:44,0:38:07,148,0:51:33,206,0:01:29,0:24:12,312,1:17:12,
224,5054,Patrick Danny van Hoof,4,H24+,0:10:06,196,0:01:29,0:40:18,260,0:51:52,225,0:01:38,0:23:43,264,1:17:12,
225,2100,Koen Olmer,2,H24+,0:10:53,312,0:01:48,0:42:33,382,0:55:12,355,0:01:29,0:20:37,82,1:17:18,
226,3106,Remy Olsthoorn,3,H24+,0:11:07,345,0:01:41,0:38:53,185,0:51:40,217,0:01:38,0:24:00,292,1:17:18,
227,6118,Leslie Teo,6,H24+,0:09:59,174,0:01:52,0:42:32,381,0:54:22,315,0:01:27,0:21:39,141,1:17:27,
228,4116,Tiago Rodrigues,4,H24+,0:09:49,146,0:01:27,0:42:26,378,0:53:42,288,0:01:10,0:22:39,194,1:17:29,
229,1055,Sander Duinker,1,H40+,0:10:03,185,0:01:58,0:39:09,198,0:51:09,190,0:01:34,0:24:50,354,1:17:32,
230,6055,Juan Carlos Alvarez,6,H24+,0:09:50,150,0:01:36,0:44:31,472,0:55:56,386,0:01:14,0:20:23,71,1:17:33,
231,7070,Pieter Schoustra,7,H24+,0:10:47,297,0:02:00,0:39:57,248,0:52:44,257,0:01:40,0:23:12,223,1:17:34,
232,4120,Steyn Schiltkamp,4,H24+,0:10:18,224,0:01:50,0:39:42,236,0:51:49,223,0:01:42,0:24:06,305,1:17:36,
233,4136,Gerard Vos,4,H40+,0:11:02,332,0:01:55,0:37:55,140,0:50:52,182,0:01:40,0:25:06,371,1:17:37,
234,7006,Han De Ruiter,7,H40+,0:10:04,189,0:01:41,0:42:25,376,0:54:08,303,0:01:38,0:21:53,154,1:17:38,
235,1024,Peter Fortuin,1,H40+,0:12:33,535,0:01:50,0:37:25,119,0:51:46,220,0:01:27,0:24:27,331,1:17:39,
236,4034,Stefan Kool,4,H24+,0:10:02,184,0:02:00,0:39:01,193,0:51:02,185,0:01:47,0:24:54,359,1:17:42,
237,6024,Oscar Schouten,6,H40+,0:10:45,291,0:01:21,0:41:16,310,0:53:20,279,0:01:08,0:23:17,231,1:17:44,
238,4075,Colin Duran,4,H24+,0:10:19,227,0:01:49,0:43:16,407,0:55:23,366,0:01:31,0:20:51,88,1:17:44,
239,4054,Jaap Albers,4,H24+,0:09:59,176,0:01:42,0:38:41,174,0:50:21,162,0:01:31,0:25:57,417,1:17:49,
240,6019,Nick Brinkman,6,H24+,0:09:38,126,0:01:39,0:41:11,307,0:52:27,244,0:01:32,0:23:54,279,1:17:52,
241,7017,Maria van der Velden,7,D24+,0:10:45,292,0:01:57,0:39:13,204,0:51:54,227,0:01:32,0:24:29,332,1:17:54,
242,5086,Frank van Haastrecht,4,H24+,0:10:36,273,0:01:20,0:41:59,349,0:53:54,294,0:01:08,0:22:54,204,1:17:55,
243,2071,Marcel de Jong,2,H24+,0:11:39,420,0:02:05,0:37:51,135,0:51:33,207,0:01:49,0:24:35,340,1:17:56,
244,3020,Arco Moerkerken,3,H40+,0:11:14,367,0:02:02,0:39:00,190,0:52:15,237,0:01:57,0:23:47,266,1:17:58,
245,5077,Rob Coenen,4,H16+,0:10:13,211,0:02:07,0:39:31,223,0:51:50,224,0:01:39,0:24:39,346,1:18:07,
246,4135,Martijn van der Voorden,4,H24+,0:09:54,163,0:01:46,0:41:18,313,0:52:57,264,0:02:09,0:23:02,217,1:18:07,
247,4102,Jaco van Middelkoop,4,H40+,0:10:49,300,0:02:11,0:39:18,207,0:52:16,238,0:02:06,0:23:48,268,1:18:09,
248,5010,Berry   Teeuwen,4,H40+,0:10:43,287,0:02:03,0:38:43,176,0:51:28,202,0:02:52,0:23:54,282,1:18:13,
249,6056,Merel l' Ami,6,D24+,0:11:52,449,0:01:39,0:37:58,142,0:51:28,203,0:01:22,0:25:28,391,1:18:16,
250,3119,Jan van Scholl,3,H40+,0:10:31,258,0:02:05,0:38:27,164,0:51:02,186,0:01:38,0:25:37,402,1:18:16,
251,5102,Koen Mooij,4,H24+,0:09:38,127,0:01:52,0:41:11,305,0:52:40,255,0:01:41,0:23:57,287,1:18:17,
252,5044,Jurgen Groen,4,H24+,0:11:08,350,0:01:59,0:38:07,149,0:51:13,194,0:01:41,0:25:28,392,1:18:20,
253,6008,Dennis Kuijper,6,H24+,0:10:13,212,0:02:05,0:40:57,296,0:53:14,274,0:02:00,0:23:14,226,1:18:27,
254,5061,Hans Sander,4,H40+,0:12:00,466,0:01:59,0:38:22,158,0:52:20,243,0:01:49,0:24:22,325,1:18:30,
255,1113,Monique Smith,1,D40+,0:09:53,157,0:01:32,0:43:13,405,0:54:38,326,0:01:36,0:22:24,183,1:18:37,
256,5097,Jonathan Leest,4,H24+,0:10:42,286,0:01:45,0:39:08,196,0:51:35,209,0:02:11,0:24:53,357,1:18:37,
257,5018,Janneke van Spijker,4,D40+,0:10:59,326,0:01:53,0:40:42,282,0:53:34,283,0:01:39,0:23:26,240,1:18:37,
258,4029,Roeland van den Heuvel,4,H24+,0:10:43,289,0:01:52,0:40:45,284,0:53:19,278,0:01:59,0:23:22,236,1:18:40,
259,5134,Mark van Wijk,4,H24+,0:09:52,155,0:02:04,0:41:50,340,0:53:46,289,0:02:02,0:22:57,208,1:18:44,
260,7062,Bart Reus,7,H24+,0:10:35,267,0:01:27,0:40:37,278,0:52:38,253,0:01:37,0:24:32,335,1:18:46,
261,1090,Timon van der Meulen,1,H24+,0:11:02,333,0:02:11,0:39:27,217,0:52:39,254,0:01:35,0:24:36,343,1:18:49,
262,6022,Menno Steenbergen,6,H24+,0:09:48,142,0:01:49,0:45:39,520,0:57:15,432,0:01:19,0:20:18,69,1:18:50,
263,6119,Stephan Van DerKolk,6,H24+,0:09:54,162,0:01:25,0:41:58,347,0:53:16,275,0:01:34,0:24:09,307,1:18:58,
264,4067,Saskia van Dijke,4,D24+,0:11:13,363,0:01:45,0:41:20,316,0:54:17,311,0:01:46,0:22:58,209,1:18:59,
265,1059,Jerry Heij,1,H24+,0:10:27,245,0:01:40,0:41:48,339,0:53:55,295,0:01:21,0:23:47,267,1:19:02,
266,1036,Barbara Ammerlaan,1,D40+,0:09:54,160,0:02:03,0:43:27,417,0:55:22,365,0:01:48,0:21:54,156,1:19:02,
267,3043,Arnold Poot,3,H24+,0:11:30,402,0:01:33,0:40:34,274,0:53:37,285,0:01:25,0:24:02,295,1:19:03,
268,7023,Dragan Dimovski,7,H24+,0:10:09,201,0:01:30,0:41:11,306,0:52:48,259,0:01:19,0:24:58,363,1:19:05,
269,2006,Rick Keijser,2,H24+,0:11:15,371,0:01:22,0:42:27,379,0:55:03,345,0:01:11,0:22:56,206,1:19:09,
270,3091,Erik Hurkmans,3,H40+,0:11:14,368,0:01:58,0:39:55,245,0:53:06,268,0:02:04,0:24:05,301,1:19:14,
271,3010,R. van Heijningen,3,H40+,0:11:42,436,0:02:19,0:39:08,197,0:53:09,271,0:01:49,0:24:17,317,1:19:14,
272,7027,Roy Heikoop,7,H24+,0:10:16,219,0:01:55,0:42:40,388,0:54:50,333,0:01:51,0:22:36,192,1:19:16,
273,6092,Jesse Hupkens,6,H16+,0:09:54,164,0:02:07,0:41:09,302,0:53:10,272,0:02:09,0:24:00,291,1:19:19,
274,3018,Micha Poot,3,H24+,0:10:42,285,0:01:40,0:41:35,326,0:53:56,296,0:01:31,0:23:54,284,1:19:21,
275,5074,Robin van Bommel,4,H24+,0:09:33,115,0:01:50,0:43:04,400,0:54:26,317,0:01:41,0:23:17,233,1:19:23,
276,4076,Ingmar de Gelder,4,H40+,0:10:36,272,0:01:42,0:44:14,462,0:56:31,407,0:01:25,0:21:27,123,1:19:23,
277,2042,Kees van Paassen,2,H40+,0:11:38,419,0:01:44,0:39:29,220,0:52:50,260,0:02:19,0:24:16,316,1:19:24,
278,6071,Javier Calucho,6,H24+,0:10:23,235,0:01:31,0:41:54,344,0:53:47,290,0:01:29,0:24:10,308,1:19:25,
279,4019,Hans van Helden,4,H24+,0:11:38,418,0:01:37,0:40:52,291,0:54:06,302,0:01:40,0:23:40,261,1:19:25,
280,3102,Kim Meinhardt,3,H40+,0:11:21,385,0:01:40,0:42:37,385,0:55:37,374,0:01:52,0:21:57,159,1:19:25,
281,5066,Madelon Baans,4,D40+,0:10:52,311,0:01:50,0:41:10,303,0:53:51,291,0:01:44,0:23:53,276,1:19:27,
282,5006,Hans   Kruijt,4,H40+,0:11:59,465,0:02:07,0:40:18,261,0:54:23,316,0:01:59,0:23:16,229,1:19:37,
283,7035,Rick Nagle,7,H24+,0:10:05,703,0:01:25,0:45:48,708,0:57:17,706,0:01:00,0:21:21,702,1:19:38,
284,2001,Ronald Fontijn,2,H24+,0:10:29,253,0:01:31,0:41:42,334,0:53:41,287,0:01:07,0:24:51,355,1:19:38,
285,4105,Bert Nap,4,H40+,0:10:50,304,0:02:17,0:39:41,235,0:52:47,258,0:01:57,0:24:56,360,1:19:39,
286,1013,Lynn van Toledo,1,D16+,0:10:03,187,0:01:44,0:43:54,443,0:55:40,375,0:01:18,0:22:53,201,1:19:50,
287,6031,Martijn Baas,6,H24+,0:11:32,405,0:01:45,0:39:44,238,0:53:00,265,0:01:53,0:25:00,367,1:19:52,
288,3108,Klaas van der Knaap,3,H24+,0:09:07,65,0:01:49,0:45:29,513,0:56:24,401,0:02:02,0:21:29,125,1:19:54,
289,5009,Patrick Steenbergen,4,H24+,0:10:09,203,0:01:58,0:44:00,449,0:56:06,392,0:02:43,0:21:10,106,1:19:57,
290,2122,Mitch Tijsma,2,H24+,0:09:13,79,0:01:40,0:43:22,412,0:54:15,310,0:01:46,0:23:58,289,1:19:58,
291,7039,Andrew Osseman,7,H24+,0:11:29,400,0:01:34,0:40:17,257,0:53:19,277,0:01:24,0:25:18,379,1:20:00,
292,1039,Mathijs van den Berg,1,H24+,0:11:10,352,0:02:06,0:39:21,212,0:52:35,250,0:01:41,0:25:47,409,1:20:02,
293,2007,Wendy Sneekes,2,D24+,0:10:31,257,0:02:06,0:43:58,447,0:56:33,408,0:02:05,0:21:28,124,1:20:05,
294,1043,Hillebrand Boogerd,1,H40+,0:11:07,343,0:02:10,0:39:21,213,0:52:37,252,0:01:51,0:25:40,404,1:20:07,
295,3058,Ivo Halkes,3,H24+,0:12:07,481,0:01:36,0:40:20,265,0:54:03,298,0:01:36,0:24:31,334,1:20:09,
296,6088,Bob Hoek,6,H24+,0:10:14,213,0:01:39,0:42:49,394,0:54:40,328,0:01:22,0:24:09,306,1:20:10,
297,1132,Edwin Vermaas,1,H24+,0:12:13,490,0:02:17,0:37:03,102,0:51:32,205,0:01:26,0:27:16,484,1:20:12,
298,5045,Renaldo Antonissen,4,H24+,0:11:03,334,0:02:29,0:36:59,99,0:50:30,168,0:01:46,0:27:59,515,1:20:14,
299,2074,Patrick Boon,2,H24+,0:11:26,392,0:01:17,0:42:21,371,0:55:02,343,0:01:13,0:24:05,299,1:20:19,
300,4118,Marco Roos,4,H40+,0:11:16,372,0:01:46,0:42:12,360,0:55:12,354,0:01:31,0:23:37,257,1:20:20,
301,1089,Brendan van Merrienboer,1,H40+,0:11:01,330,0:02:31,0:40:06,251,0:53:37,286,0:02:25,0:24:18,319,1:20:20,
302,5012,Klaas   Versloot,4,H40+,0:11:39,421,0:02:38,0:39:37,230,0:53:53,293,0:02:15,0:24:16,315,1:20:23,
303,1130,Irene van der Veer,1,D16+,0:11:04,337,0:01:55,0:40:37,279,0:53:34,284,0:01:45,0:25:06,370,1:20:24,
304,2003,Jeroen Grooters,2,H24+,0:11:18,379,0:02:58,0:40:46,285,0:55:01,342,0:01:57,0:23:28,242,1:20:26,
305,3087,Anne van Zweeden,3,D24+,0:11:03,336,0:01:50,0:41:55,345,0:54:47,332,0:01:39,0:24:01,293,1:20:27,
306,6048,Daniëlle Blomsma,6,D24+,0:10:25,238,0:01:48,0:42:48,393,0:55:01,341,0:01:26,0:24:03,296,1:20:28,
307,2022,Jeannette van der Rhee,2,D24+,0:10:20,229,0:01:28,0:45:14,504,0:57:01,423,0:01:22,0:22:06,168,1:20:28,
308,6113,Stefan de Ruijter,6,H24+,0:10:35,270,0:01:32,0:43:41,432,0:55:47,381,0:01:11,0:23:31,247,1:20:28,
309,3132,Rudolf ten Velden,3,H40+,0:10:43,288,0:02:12,0:38:59,188,0:51:54,226,0:02:43,0:25:56,416,1:20:32,
310,4027,Tim van der Elst,4,H24+,0:11:12,360,0:02:00,0:36:47,87,0:49:58,145,0:02:13,0:28:25,532,1:20:36,
311,2060,Robbertjan Groeneweg,2,H24+,0:11:37,413,0:01:40,0:41:39,332,0:54:54,338,0:01:23,0:24:23,327,1:20:39,
312,6091,Evelien Hupkens,6,D24+,0:11:14,370,0:01:43,0:42:18,370,0:55:14,357,0:01:51,0:23:37,258,1:20:42,
313,1134,Lennart Visser,1,H40+,0:10:28,248,0:01:43,0:43:01,399,0:55:12,353,0:01:44,0:23:48,269,1:20:43,
314,7084,Guy Lansbergen,7,H24+,0:10:22,233,0:02:14,0:41:35,327,0:54:11,305,0:02:01,0:24:33,336,1:20:44,
315,1123,Michel Ubert,1,H24+,0:10:46,294,0:01:55,0:41:39,333,0:54:19,313,0:01:23,0:25:06,373,1:20:47,
316,4040,Ferry Becker,4,H24+,0:10:10,705,0:02:11,0:42:38,704,0:54:57,704,0:02:16,0:23:36,706,1:20:48,
317,2011,Dylan Tijsma,2,H16+,0:09:32,109,0:01:09,0:45:11,499,0:55:51,384,0:01:16,0:23:48,271,1:20:54,
318,1066,David Hooyenga,1,H24+,0:10:26,240,0:03:00,0:39:10,200,0:52:34,249,0:02:14,0:26:08,427,1:20:55,
319,1124,Jeroen Ulfman,1,H24+,0:12:34,538,0:01:52,0:37:40,128,0:52:06,233,0:01:32,0:27:20,491,1:20:56,
320,1078,Michel de Kramer,1,H24+,0:12:26,519,0:02:26,0:38:13,154,0:53:04,267,0:01:37,0:26:21,439,1:21:00,
321,1047,Isidro De PazGarcia,1,H40+,0:10:58,325,0:01:28,0:42:12,361,0:54:37,325,0:01:41,0:24:44,349,1:21:00,
322,2041,Willem Bel,2,H40+,0:10:52,310,0:01:50,0:42:11,358,0:54:52,336,0:01:23,0:24:48,352,1:21:02,
323,1052,Judith van den Dool,1,D16+,0:11:45,439,0:01:56,0:39:32,224,0:53:12,273,0:01:37,0:26:15,433,1:21:04,
324,5101,Bart Mooij,4,H24+,0:09:51,151,0:01:43,0:44:23,467,0:55:56,385,0:01:22,0:23:53,275,1:21:10,
325,2120,Jelle Terpstra,2,H24+,0:10:04,190,0:01:45,0:42:24,375,0:54:13,307,0:01:55,0:25:04,369,1:21:11,
326,7037,Michael Olsthoorn,7,H24+,0:11:06,342,0:01:56,0:41:36,330,0:54:37,324,0:01:42,0:24:54,358,1:21:11,
327,4104,Iona Mulder,4,D24+,0:11:16,373,0:02:12,0:42:15,363,0:55:42,377,0:01:57,0:23:34,251,1:21:12,
328,3047,Mindy Gouw,3,D24+,0:10:53,314,0:01:49,0:41:33,323,0:54:14,309,0:01:34,0:25:30,397,1:21:18,
329,5059,Laura van der Meulen,4,D16+,0:10:57,321,0:01:44,0:40:22,266,0:53:01,266,0:01:45,0:26:34,454,1:21:18,
330,6112,Harro Rooijendijk,6,H24+,0:11:23,389,0:01:36,0:43:40,431,0:56:39,411,0:01:08,0:23:50,274,1:21:36,
331,3019,Maren Harms,3,D24+,0:12:43,555,0:01:32,0:40:12,254,0:54:26,318,0:01:31,0:25:40,405,1:21:36,
332,3109,Germaine Plaum,3,D40+,0:11:32,406,0:01:40,0:42:01,350,0:55:13,356,0:02:03,0:24:22,326,1:21:37,
333,2033,Danielle Kuik,2,D24+,0:11:07,346,0:01:50,0:42:24,374,0:55:20,363,0:01:30,0:24:49,353,1:21:38,
334,3135,Frank van der Voort,3,H40+,0:11:11,355,0:02:20,0:39:25,215,0:52:55,263,0:02:22,0:26:22,442,1:21:39,
335,4137,Annika Willems,4,D24+,0:11:18,378,0:02:05,0:42:40,387,0:56:01,388,0:01:37,0:24:02,294,1:21:39,
336,3080,Dennis Gerk,3,H40+,0:10:38,279,0:02:20,0:43:31,423,0:56:28,405,0:02:02,0:23:09,221,1:21:39,
337,26,Chi Keung Tang,7,H24+,0:10:05,704,0:01:32,0:45:39,707,0:57:15,705,0:01:17,0:23:08,705,1:21:39,
338,3065,Raymond Bijlsma,3,H40+,0:10:27,244,0:01:48,0:44:10,460,0:56:25,403,0:01:25,0:23:56,286,1:21:45,
339,7036,Paul Notenboom,7,H24+,0:09:49,147,0:01:17,0:44:02,451,0:55:08,348,0:01:12,0:25:29,395,1:21:48,
340,6124,Roy Verweel,6,H40+,0:12:41,552,0:03:44,0:38:04,144,0:54:29,320,0:03:02,0:24:20,322,1:21:49,
341,4057,Menno Baumann,4,H24+,0:09:43,132,0:01:53,0:42:44,391,0:54:19,314,0:01:54,0:25:38,403,1:21:50,
342,1084,Michael van Lievenoogen,1,H24+,0:11:08,347,0:02:20,0:39:51,242,0:53:17,276,0:02:03,0:26:31,450,1:21:50,
343,6106,Jonathan Oudendijk,6,H24+,0:11:25,391,0:01:49,0:43:55,444,0:57:09,427,0:01:32,0:23:15,228,1:21:54,
344,7050,Marijn Verhoef,7,H24+,0:12:51,562,0:01:06,0:41:36,329,0:55:32,370,0:01:11,0:25:14,375,1:21:55,
345,6068,Aaron Bruijns,6,H24+,0:10:29,249,0:01:15,0:43:50,440,0:55:33,372,0:01:11,0:25:16,377,1:21:59,
346,7046,Rob Strijkers,7,H24+,0:11:53,451,0:01:47,0:41:26,318,0:55:04,346,0:01:31,0:25:26,389,1:21:59,
347,6076,Rick Driessen,6,H16+,0:10:46,295,0:01:51,0:42:15,364,0:54:51,334,0:01:51,0:25:18,382,1:21:59,
348,6028,Gerrit Verbeek,6,H40+,0:11:27,395,0:02:14,0:43:15,406,0:56:55,421,0:01:54,0:23:12,225,1:22:01,
349,4073,André van Dorp,4,H40+,0:10:37,276,0:01:44,0:46:32,557,0:58:52,486,0:02:02,0:21:07,103,1:22:01,
350,7003,Johan Veldhuis,7,H24+,0:12:06,478,0:01:27,0:39:19,209,0:52:51,261,0:01:21,0:27:50,511,1:22:01,
351,4058,Ronald Becht,4,H24+,0:11:13,361,0:02:05,0:43:12,404,0:56:29,406,0:02:08,0:23:29,246,1:22:05,
352,6063,Michiel Biesheuvel,6,H24+,0:10:45,293,0:02:20,0:42:16,366,0:55:19,361,0:02:12,0:24:39,345,1:22:09,
353,1071,Joost Kadijk,1,H40+,0:12:07,480,0:02:18,0:39:40,234,0:54:04,299,0:01:46,0:26:22,440,1:22:11,
354,3056,Hermine van der Marel,3,D40+,0:10:19,228,0:02:03,0:45:07,496,0:57:29,442,0:01:42,0:23:01,214,1:22:11,
355,4055,Roelof Andringa,4,H40+,0:11:16,376,0:01:50,0:41:48,338,0:54:53,337,0:02:01,0:25:23,387,1:22:16,
356,4114,Bruno Riollet,4,H40+,0:11:17,377,0:02:12,0:41:12,308,0:54:40,327,0:02:14,0:25:24,388,1:22:17,
357,4050,Sandra Kleijn,4,D40+,0:11:28,398,0:01:38,0:43:40,430,0:56:46,415,0:01:40,0:23:54,280,1:22:19,
358,5094,Rebecca Kamperman,4,D24+,0:10:39,282,0:02:08,0:41:18,314,0:54:04,300,0:02:05,0:26:11,431,1:22:20,
359,2051,Nicolette van Dijl,2,D40+,0:10:50,305,0:01:31,0:45:14,503,0:57:34,448,0:01:09,0:23:53,277,1:22:35,
360,5028,Milos Matic,4,H24+,0:10:35,268,0:01:38,0:44:43,477,0:56:54,420,0:01:38,0:24:04,298,1:22:36,
361,4098,Daphne Luiten,4,D24+,0:11:07,344,0:02:27,0:44:03,453,0:57:35,449,0:01:20,0:23:42,263,1:22:37,
362,4130,Eric Versluis,4,H24+,0:10:35,269,0:01:39,0:42:16,367,0:54:29,321,0:01:33,0:26:37,458,1:22:38,
363,3057,Wilfred Breedijk,3,H40+,0:11:33,407,0:01:29,0:44:05,456,0:57:06,426,0:01:22,0:24:18,320,1:22:46,
364,1097,Gerrit Frans van Pelt,1,H40+,0:11:34,411,0:02:12,0:41:32,321,0:55:17,359,0:01:45,0:25:48,410,1:22:48,
365,1106,Miranda de Ruiter,1,D40+,0:11:13,365,0:01:40,0:42:26,377,0:55:18,360,0:01:08,0:26:26,447,1:22:51,
366,1006,Viola Cornelisse,1,D24+,0:10:51,307,0:01:30,0:43:11,403,0:55:32,369,0:01:17,0:26:03,421,1:22:51,
367,4045,Hilda van der Veen,4,D40+,0:10:41,284,0:01:50,0:44:16,465,0:56:47,416,0:02:02,0:24:04,297,1:22:51,
368,6079,Melissa Eestermans,6,D40+,0:11:42,434,0:02:12,0:42:34,384,0:56:27,404,0:02:20,0:24:06,304,1:22:53,
369,3025,Kim de Reus,3,D24+,0:10:49,302,0:02:01,0:45:39,521,0:58:28,475,0:01:53,0:22:33,190,1:22:53,
370,1019,Judith van der K,1,D24+,0:12:25,517,0:01:54,0:43:21,411,0:57:39,451,0:01:24,0:23:54,281,1:22:56,
371,1082,Victor Liem,1,H24+,0:11:42,431,0:02:28,0:40:06,250,0:54:14,308,0:02:05,0:26:42,463,1:23:00,
372,6060,Marjolijn van Tol,6,D24+,0:12:01,469,0:01:57,0:42:07,353,0:56:03,390,0:01:39,0:25:22,386,1:23:04,
373,3016,Linda Hoek,3,D24+,0:11:11,354,0:01:55,0:44:05,455,0:57:10,428,0:01:46,0:24:10,309,1:23:04,
374,6014,Joost van Elteren,6,H24+,0:12:02,471,0:02:07,0:41:36,328,0:55:43,378,0:01:24,0:26:00,419,1:23:06,
375,7065,Marleen Van Kalmthout,7,D24+,0:11:04,338,0:01:35,0:44:03,454,0:56:40,413,0:01:29,0:24:58,362,1:23:06,
376,1050,Marjolein Deurloo,1,D24+,0:11:37,414,0:01:53,0:45:07,495,0:58:36,479,0:01:16,0:23:17,230,1:23:07,
377,5117,Eise van der Spoel,4,H24+,0:11:18,380,0:01:36,0:44:58,488,0:57:51,458,0:01:10,0:24:13,313,1:23:13,
378,2075,Jeroen van Dijk,2,H24+,0:13:00,574,0:01:47,0:40:25,269,0:55:11,352,0:01:54,0:26:10,428,1:23:14,
379,4108,Danielle Onnink,4,D24+,0:10:27,243,0:02:00,0:42:17,368,0:54:43,329,0:02:27,0:26:05,422,1:23:14,
380,4100,Robert Maurik,4,H40+,0:12:09,484,0:02:22,0:37:09,104,0:51:39,216,0:02:15,0:29:23,568,1:23:16,
381,3011,Louise Cornelis,3,D40+,0:12:12,488,0:02:31,0:40:25,268,0:55:07,347,0:02:02,0:26:11,430,1:23:19,
382,4048,Elke Berger,4,D40+,0:11:40,422,0:01:50,0:42:52,396,0:56:21,399,0:02:19,0:24:44,350,1:23:23,
383,4013,Lina van Dongen,4,D24+,0:10:26,242,0:01:54,0:45:51,526,0:58:10,467,0:01:41,0:23:35,253,1:23:25,
384,4022,Andrea Susini,4,H24+,0:11:58,461,0:02:02,0:40:12,255,0:54:11,306,0:01:54,0:27:21,493,1:23:25,
385,3003,Xandra van Etten,3,D24+,0:11:34,410,0:01:34,0:44:08,458,0:57:15,433,0:01:19,0:24:58,361,1:23:30,
