Plts,StartNr,Naam,Vereniging/Woonplaats,Cat,PltsCat,NettoTijd,Na1800m,race,date
63,1327,Melvin Witteveen-Georgiou,Phanos,Man,32,00:21:32,00:10:35,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
64,502,Rob Fafiani,Nederhorst den Berg,Man,33,00:21:38,00:10:43,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
65,277,Jasper Versteeg,Weesp,Man,34,00:21:43,00:10:24,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
66,1891,Janine Drewes,Noorderpark In Beweging,Vrouw,32,00:21:43, ,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
67,2079,Elena Vogelaar,Barleaus,Vrouw,33,00:21:44,00:10:34,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
68,1903,Yasmine Manka,Noorderpark In Beweging,Vrouw,34,00:21:44, ,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
69,727,Jorine Vervenne,Hoorn Nh,Vrouw,35,00:21:48,00:10:25,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
70,726,Carla Sels,Purmerend,Vrouw,36,00:21:49,00:10:26,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
71,1010,Claudine Smitter,Amsterdam,Vrouw,37,00:21:51,00:10:04,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
72,1989,Wouter Klarenbeek,Lanx Cares,Man,35,00:21:51,00:10:47,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
73,1422,Montse Pascual Puerto,Amsterdam,Vrouw,38,00:21:51,00:09:55,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
74,1146,Lizzy Buisman,Hoorn Nh,Vrouw,39,00:21:52,00:11:09,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
75,1988,Jelle Vellema,Lanx Cares,Man,36,00:21:53,00:10:47,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
76,934,Marloes Griffioen,Amsterdam,Vrouw,40,00:21:58,00:10:56,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
77,1573,Laura Korsten,Amsterdam,Vrouw,41,00:21:58,00:10:56,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
78,536,Thomas Zaufal,Amsterdam,Man,37,00:22:19,00:11:11,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
79,2102,Julia Lamers,Barleaus,Vrouw,42,00:22:20,00:11:04,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
