Rank,RaceNrs,Cat,RankCat,Team,Nation,Time,race,date
55,2030-2039,BEDRI,8,Interoffice kantoorinrichting b.v.,NED,08:26:39,Run Winschoten 12-09-2015,2015-09-12
56,3670-3679,OVERI,14,Andela,NED,08:26:43,Run Winschoten 12-09-2015,2015-09-12
57,3770-3779,OVERI,15,Boelie's Pub 2,NED,08:26:48,Run Winschoten 12-09-2015,2015-09-12
58,2560-2569,BEDRI,9,Teijin Aramid 2,NED,08:27:56,Run Winschoten 12-09-2015,2015-09-12
59,2740-2749,BEDRI,10,Simone FM,NED,08:28:48,Run Winschoten 12-09-2015,2015-09-12
60,1080-1089,ATLET,25,MK SEITL OSTRAVA,CZE,08:29:48,Run Winschoten 12-09-2015,2015-09-12
61,2650-2659,BEDRI,11,Philips Winschoten B.V.,NED,08:31:09,Run Winschoten 12-09-2015,2015-09-12
62,5530-5539,112 B,4,Politie Ommelanden Oost,NED,08:32:34,Run Winschoten 12-09-2015,2015-09-12
63,3580-3589,OVERI,16,Hessels Zeefbanden,NED,08:33:01,Run Winschoten 12-09-2015,2015-09-12
64,1610-1619,ATLET,26,"Runners, Massagepraktijk Respectfultoch",NED,08:33:22,Run Winschoten 12-09-2015,2015-09-12
65,1540-1549,ATLET,27,LG Uplengen - Lauftreff,GER,08:33:25,Run Winschoten 12-09-2015,2015-09-12
66,3690-3699,OVERI,17,Atemlos Emden,GER,08:33:31,Run Winschoten 12-09-2015,2015-09-12
67,3910-3919,OVERI,18,Buurtvereniging Rondom 't Veloat,NED,08:34:47,Run Winschoten 12-09-2015,2015-09-12
68,2120-2129,BEDRI,12,Reinoud Bekkema Tekenstudio,NED,08:35:19,Run Winschoten 12-09-2015,2015-09-12
69,2080-2089,BEDRI,13,Bos Incasso Team Oranje,NED,08:35:24,Run Winschoten 12-09-2015,2015-09-12
70,3560-3569,OVERI,19,Team COOP Jan Kruijer,NED,08:35:35,Run Winschoten 12-09-2015,2015-09-12
71,2610-2619,BEDRI,14,Snoek Kringlooppapier bv Team 3,NED,08:36:14,Run Winschoten 12-09-2015,2015-09-12
72,3930-3939,OVERI,20,Steeds Beter,NED,08:37:37,Run Winschoten 12-09-2015,2015-09-12
73,2500-2509,BEDRI,15,hpkorte voor geld en goed,NED,08:38:50,Run Winschoten 12-09-2015,2015-09-12
74,2540-2549,BEDRI,16,Teijin Aramid 1,NED,08:38:55,Run Winschoten 12-09-2015,2015-09-12
75,1010-1019,ATLET,28,WZK Tri-team,NED,08:39:28,Run Winschoten 12-09-2015,2015-09-12
76,2390-2399,BEDRI,17,Team Newlands,NED,08:40:08,Run Winschoten 12-09-2015,2015-09-12
77,2340-2349,BEDRI,18,Menzrunners,NED,08:40:37,Run Winschoten 12-09-2015,2015-09-12
78,3410-3419,OVERI,21,De Kooikers,NED,08:41:33,Run Winschoten 12-09-2015,2015-09-12
79,2450-2459,BEDRI,19,Nedmag,NED,08:41:45,Run Winschoten 12-09-2015,2015-09-12
80,2410-2419,BEDRI,20,Team Redd Foxx,NED,08:41:47,Run Winschoten 12-09-2015,2015-09-12
81,1190-1199,ATLET,29,Loopgroep SOS | Vakgarage van Leeuwen,NED,08:41:54,Run Winschoten 12-09-2015,2015-09-12
82,2180-2189,BEDRI,21,Winkler Prins,NED,08:42:11,Run Winschoten 12-09-2015,2015-09-12
83,2420-2429,BEDRI,22,DANI'S hairstyle,NED,08:42:15,Run Winschoten 12-09-2015,2015-09-12
84,2250-2259,BEDRI,23,Dollard College team 1,NED,08:43:37,Run Winschoten 12-09-2015,2015-09-12
85,1100-1109,ATLET,30,AV Hanzesport team 2,NED,08:43:50,Run Winschoten 12-09-2015,2015-09-12
86,2280-2289,BEDRI,24,Camping de Bouwte,NED,08:44:05,Run Winschoten 12-09-2015,2015-09-12
87,3520-3529,OVERI,22,TSS,NED,08:44:21,Run Winschoten 12-09-2015,2015-09-12
88,3420-3429,OVERI,23,PvdA Oldambt,NED,08:44:21,Run Winschoten 12-09-2015,2015-09-12
89,3960-3969,OVERI,24,Liprunners,NED,08:44:42,Run Winschoten 12-09-2015,2015-09-12
90,3270-3279,OVERI,25,Lentis Kliniek Groningen,NED,08:45:05,Run Winschoten 12-09-2015,2015-09-12
91,2210-2219,BEDRI,25,Bakker Boven Assurantiën,NED,08:45:06,Run Winschoten 12-09-2015,2015-09-12
92,2310-2319,BEDRI,26,Virol 1,NED,08:45:26,Run Winschoten 12-09-2015,2015-09-12
93,3640-3649,OVERI,26,CDA afd. Oldambt,NED,08:45:36,Run Winschoten 12-09-2015,2015-09-12
94,2100-2109,BEDRI,27,Oosterlengte,NED,08:46:03,Run Winschoten 12-09-2015,2015-09-12
95,2580-2589,BEDRI,28,Sportcentrum Nico Jager 2,NED,08:46:20,Run Winschoten 12-09-2015,2015-09-12
96,1480-1489,ATLET,31,LSV Invictus 3,NED,08:46:49,Run Winschoten 12-09-2015,2015-09-12
97,2350-2359,BEDRI,29,Brandwondencentrum Martini ziekenhuis,NED,08:46:49,Run Winschoten 12-09-2015,2015-09-12
98,3870-3879,OVERI,27,Lientje,NED,08:46:57,Run Winschoten 12-09-2015,2015-09-12
99,3320-3329,OVERI,28,Ubbo Emmius Winschoten,NED,08:47:49,Run Winschoten 12-09-2015,2015-09-12
100,1040-1049,ATLET,32,HoogeZandloperS|Klooster Reizen,NED,08:48:04,Run Winschoten 12-09-2015,2015-09-12
101,1180-1189,ATLET,33,Loopgroep SOS |Gezondheidcentr Provitaal,NED,08:48:10,Run Winschoten 12-09-2015,2015-09-12
102,2710-2719,BEDRI,30,Administratiekantoor Kruize,NED,08:48:39,Run Winschoten 12-09-2015,2015-09-12
103,1620-1629,ATLET,34,"Runners, Sortimo Bedrijfswageninrichting",NED,08:48:43,Run Winschoten 12-09-2015,2015-09-12
104,3350-3359,OVERI,29,keuringsbedrijf kuiper,NED,08:48:47,Run Winschoten 12-09-2015,2015-09-12
105,2320-2329,BEDRI,31,Virol 2,NED,08:49:29,Run Winschoten 12-09-2015,2015-09-12
106,3840-3849,OVERI,30,Dijkdorp Drieborg,NED,08:49:43,Run Winschoten 12-09-2015,2015-09-12
107,3280-3289,OVERI,31,Speedipus Rex,NED,08:51:21,Run Winschoten 12-09-2015,2015-09-12
108,2680-2689,BEDRI,32,Noord Nederlands Orkest (NNO),NED,08:51:59,Run Winschoten 12-09-2015,2015-09-12
109,2230-2239,BEDRI,33,Abiant 1,NED,08:53:01,Run Winschoten 12-09-2015,2015-09-12
110,4570-4579,VROUW,6,Loopgroep AG '85 Vrouwen,NED,08:53:10,Run Winschoten 12-09-2015,2015-09-12
111,1390-1399,ATLET,35,Runners Oost Groningen team 2,NED,08:53:38,Run Winschoten 12-09-2015,2015-09-12
112,2380-2389,BEDRI,34,Fyzigo Fysiotherapie,NED,08:53:57,Run Winschoten 12-09-2015,2015-09-12
113,2660-2669,BEDRI,35,Bakker Ganzeveld Assurantiën,NED,08:53:59,Run Winschoten 12-09-2015,2015-09-12
114,2530-2539,BEDRI,36,Bouwbedrijf Geert de Jonge,NED,08:54:39,Run Winschoten 12-09-2015,2015-09-12
115,3780-3789,OVERI,32,Karakter Almelo,NED,08:54:42,Run Winschoten 12-09-2015,2015-09-12
116,1550-1559,ATLET,36,Loopgroep Groningen,NED,08:55:11,Run Winschoten 12-09-2015,2015-09-12
117,3730-3739,OVERI,33,Abdijrunners,NED,08:55:27,Run Winschoten 12-09-2015,2015-09-12
118,2460-2469,BEDRI,37,Eska Graphic Board Team 1,NED,08:56:02,Run Winschoten 12-09-2015,2015-09-12
119,3740-3749,OVERI,34,St Travelrunners,NED,08:56:04,Run Winschoten 12-09-2015,2015-09-12
120,3980-3989,OVERI,35,Massagepraktijk RESPECTFULTOUCH Run4Fun,NED,08:56:18,Run Winschoten 12-09-2015,2015-09-12
121,5520-5529,112 B,5,Brandweer Oldambt,NED,08:56:41,Run Winschoten 12-09-2015,2015-09-12
122,2770-2779,BEDRI,38,Team Apothekerscombinatie Winschoten,NED,08:57:50,Run Winschoten 12-09-2015,2015-09-12
123,2020-2029,BEDRI,39,UWV | Arbeitsagentur,NED,08:58:29,Run Winschoten 12-09-2015,2015-09-12
124,3810-3819,OVERI,36,Mission Possible III,NED,08:59:30,Run Winschoten 12-09-2015,2015-09-12
125,1340-1349,ATLET,37,Dansstudio Da Funky Feet team 2,NED,08:59:49,Run Winschoten 12-09-2015,2015-09-12
126,3830-3839,OVERI,37,Daltonschool de Tweemaster,NED,08:59:49,Run Winschoten 12-09-2015,2015-09-12
127,2430-2439,BEDRI,40,CERTE,NED,09:00:00,Run Winschoten 12-09-2015,2015-09-12
128,2400-2409,BEDRI,41,Bruins Verheek makelaars,NED,09:00:23,Run Winschoten 12-09-2015,2015-09-12
129,2240-2249,BEDRI,42,Abiant 2,NED,09:00:42,Run Winschoten 12-09-2015,2015-09-12
130,1250-1259,ATLET,38,Runploug 1,NED,09:00:46,Run Winschoten 12-09-2015,2015-09-12
131,1260-1269,ATLET,39,Runploug 2,NED,09:00:46,Run Winschoten 12-09-2015,2015-09-12
132,3890-3899,OVERI,38,Amnesty International team 2,NED,09:01:34,Run Winschoten 12-09-2015,2015-09-12
133,3970-3979,OVERI,39,FrieslandCampina DOMO 1,NED,09:02:01,Run Winschoten 12-09-2015,2015-09-12
134,1410-1419,ATLET,40,AV Heerenveen | Gemengd 1,NED,09:02:40,Run Winschoten 12-09-2015,2015-09-12
135,1020-1029,ATLET,41,SV Veendam,NED,09:02:45,Run Winschoten 12-09-2015,2015-09-12
136,2490-2499,BEDRI,43,Eska Graphic Board Team 2,NED,09:02:52,Run Winschoten 12-09-2015,2015-09-12
137,2150-2159,BEDRI,44,Silhouet Kappers | Valkema Sport II,NED,09:03:10,Run Winschoten 12-09-2015,2015-09-12
138,3250-3259,OVERI,40,Team Potgieser,NED,09:03:31,Run Winschoten 12-09-2015,2015-09-12
139,5560-5569,112 B,6,Politie Academie Drachten,NED,09:03:48,Run Winschoten 12-09-2015,2015-09-12
140,1220-1229,ATLET,42,The Travel Club zwemmers,NED,09:03:49,Run Winschoten 12-09-2015,2015-09-12
141,3900-3909,OVERI,41,Judo Instituut Noord | Zempo,NED,09:03:57,Run Winschoten 12-09-2015,2015-09-12
142,1270-1279,ATLET,43,Dansstudio Da Funky feet team 1,NED,09:04:11,Run Winschoten 12-09-2015,2015-09-12
143,2590-2599,BEDRI,45,Snoek Kringlooppapier bv Team 1,NED,09:04:43,Run Winschoten 12-09-2015,2015-09-12
144,3610-3619,OVERI,42,Team Kloostervallei|Bakker Scholtens,NED,09:04:43,Run Winschoten 12-09-2015,2015-09-12
145,2050-2059,BEDRI,46,"FullFitt, begeleiding op maat",NED,09:04:59,Run Winschoten 12-09-2015,2015-09-12
146,3480-3489,OVERI,43,De Beune 4,NED,09:05:04,Run Winschoten 12-09-2015,2015-09-12
147,2330-2339,BEDRI,47,VW Quality Assurance Emden,GER,09:05:35,Run Winschoten 12-09-2015,2015-09-12
148,3720-3729,OVERI,44,Mengelmoes,NED,09:05:39,Run Winschoten 12-09-2015,2015-09-12
149,2190-2199,BEDRI,48,Dollard College|de Flint,NED,09:05:47,Run Winschoten 12-09-2015,2015-09-12
150,3540-3549,OVERI,45,Mission Possible II,NED,09:06:31,Run Winschoten 12-09-2015,2015-09-12
151,1430-1439,ATLET,44,HLC Onstwedde I,NED,09:06:48,Run Winschoten 12-09-2015,2015-09-12
152,1070-1079,ATLET,45,AV Hanzesport team1,NED,09:07:39,Run Winschoten 12-09-2015,2015-09-12
153,3700-3709,OVERI,46,Ubbo Emmius Stadskanaal|Onstwedde,NED,09:08:03,Run Winschoten 12-09-2015,2015-09-12
154,3230-3239,OVERI,47,SO|VSO de Meentschool,NED,09:08:03,Run Winschoten 12-09-2015,2015-09-12
155,2370-2379,BEDRI,49,Praxis,NED,09:08:30,Run Winschoten 12-09-2015,2015-09-12
